,counts,coupon_name
195,32,[디자인] 한 번에 끝내는 공간/건축 디자인 40% 할인 쿠폰
196,32,[유튜브 구독자 대상 20% 할인쿠폰] 올인원 패키지 : 혁펜하임의 AI DEEP DIVE (Online.)
197,31,[20% 할인쿠폰] 올인원 패키지 : 모델 구현으로 끝내는 GAN 완전정복
198,31,[Adrial 데이터 마케팅 세미나] 강의 5만원 할인권
199,31,인사이더 쿠폰
200,30,[고객님 전용] AWS 데이터 인프라 구축&엔지니어링 정주행 Kit 할인
201,30,[무료 쿠폰] 6개월 치 업무를 하루 만에 끝내는 업무자동화 리뉴얼 강의
202,30,[무료 쿠폰] 코꼬마를 위한 코딩유치원 리뉴얼 강의
203,29,[규정외 재발급][72시간 한정] 온라인 강의 3만원 즉시할인 깜짝 쿠폰
204,29,"[50% 할인] 개발자 취업 합격 패스 With 코딩테스트, 기술면접 초격차 패키지 Online. 50% 할인 쿠폰"
205,29,빵형 구독자 대상 특별 20% 할인 쿠폰
206,29,[20% 할인쿠폰] 올인원 패키지 : 혁펜하임의 AI DEEP DIVE (Online.)
207,29,[무료수강권] 산학협력
208,29,[무료수강권] 한 번에 끝내는 서비스 기획의 모든 것 초격차 패키지 Online.
209,28,[규정외 재발급][20% 할인쿠폰] React Native를 활용한 빠르고 완성도 높은 앱 개발 초격차 패키지 20% 할인 쿠폰
211,27,[규정외 재발급][럭키룰렛] 프로그래밍 강의 7만 원 할인 쿠폰
212,27,[럭키룰렛] 프로그래밍 강의 7만 원 할인 쿠폰
213,27,[럭키룰렛] 프로그래밍 강의 10만 원 할인 쿠폰
214,27,[럭키룰렛] 프로그래밍 강의 50% 할인 쿠폰
215,26,[INNER CIRCLE : 노수진] 사전학습콘텐츠 제공_RED
216,26,[30% 특별 할인 쿠폰] 이병률 작가의 나 자신과 여행하는 에세이 창작법 할인 쿠폰 (~12/4 23:59)
217,26,[트위터 팔로워 대상] 완케의 기초 클래스 20% 할인 쿠폰
218,26,[체인의정석] 초격차 패키지 : Solidity로 시작하는 이더리움(EVM) 기반 블록체인 개발  A to Z 30% 할인 쿠폰
219,26,[럭키룰렛] 프로그래밍 강의 100% 할인 쿠폰
221,25,[인사이더] 수강률 트래킹용 강의 쿠폰
222,25,[무료 수강권] FEConf 2022 이벤트 경품_프로그래밍 강의 무료수강권
223,25,[우수 체험단 리워드] 네오아카데미 일러스트 강의 무료수강권
224,25,[분할결제2]초격차 패키지 : 한 번에 끝내는 컴퓨터비전
225,25,[40% 할인 쿠폰] FEConf 2022 이벤트 경품_프로그래밍 강의 40% 할인 쿠폰
226,25,[증정] The Red 강의 11월 판매가 50%할인권
227,25,[분할결제1]초격차 패키지 : 한 번에 끝내는 컴퓨터비전
228,24,[무료수강권] 백엔드 개발자를 위한 한 번에 끝내는 대용량 데이터 & 트래픽 처리 초격차 패키지 Online.
229,24,[프로모션] 10월 1+1 쿠폰 이벤트
233,23,[게뜨 RT이벤트] 초격차 패키지 : Solidity로 시작하는 이더리움(EVM) 기반 블록체인 개발  A to Z 무료수강권
234,23,[30% 할인 쿠폰] FEConf 2022 이벤트 경품_프로그래밍 강의 30% 할인 쿠폰
235,23,[50% 할인 쿠폰] FEConf 2022 이벤트 경품_프로그래밍 강의 50% 할인 쿠폰
236,23,[20% 할인] 스타트업 마케터로 살아남기 : 퍼포먼스 마케팅 Kiit 할인 쿠폰
237,22,[20% 할인쿠폰] 스타트업 마케터로 살아남기 : 퍼포먼스 마케팅 Kiit 할인 쿠폰
238,22,[20% 할인 쿠폰] FEConf 2022 이벤트 경품_프로그래밍 강의 20% 할인 쿠폰
239,22,[마스터클래스 전체 오픈 기념 할인쿠폰] 편집여 아카데미 제 6강 3만 원 할인 쿠폰
240,22,[프로그래밍 깜짝 쿠폰 이벤트] 프로그래밍 카테고리 30% 할인 쿠폰
242,22,[Karin RT이벤트] 초격차 패키지 : Solidity로 시작하는 이더리움(EVM) 기반 블록체인 개발  A to Z 무료수강권
243,22,[분할결제1]올인원 패키지 : 성공적인 UX를 위한 유저 리서치 by 카카오페이 리서처
244,22,[분할결제2]올인원 패키지 : 성공적인 UX를 위한 유저 리서치 by 카카오페이 리서처
246,21,[프로모션] 9월 100% 페이백 이벤트
247,21,[재결제쿠폰][WELCOME] 온라인 강의 3만원 할인
248,20,[예외 재발급] [100% 쿠폰] 디마즈 1기 강의 100% 수강권
249,20,(재발급) [프로모션] 10월 1+1 쿠폰 이벤트
250,20,[규정외발급][프로모션] 10월 1+1 쿠폰 이벤트
251,20,[재결제쿠폰][WELCOME] 온라인 강의 2만원 할인
252,20,[체인의정석 RT이벤트] 초격차 패키지 : Solidity로 시작하는 이더리움(EVM) 기반 블록체인 개발  A to Z 무료수강권
253,20,"[24시간 한정] 10,000원 즉시할인 쿠폰"
254,19,[재결제쿠폰]올인원 패키지 : 스프링의 정석 : 남궁성과 끝까지 간다
255,19,[규정외 재발급][WELCOME] 온라인 강의 3만원 할인
256,19,"[분할 결제] 1_백엔드 개발자를 위한 한 번에 끝내는 대용량 데이터 & 트래픽 처리 초격차 패키지_182,000원 결제용"
258,19,[VIP] The RED 강의 5만원 할인 쿠폰
259,19,[재발급] [정가대비 90% 할인쿠폰] 초격차 패키지 : 딥러닝·인공지능 Signature 90% 할인 쿠폰
260,19,"[분할 결제] 1_백엔드 개발자를 위한 한 번에 끝내는 대용량 데이터 & 트래픽 처리 초격차 패키지_10,000원 결제용"
261,19,"[30,000원 할인쿠폰] 한 번에 끝내는 영상 촬영과 편집"
262,19,[규정외재발급][20% 할인쿠폰] React Native를 활용한 빠르고 완성도 높은 앱 개발 초격차 패키지 20% 할인 쿠폰
263,18,[100% 할인] The Red : 씀으로써 작가가 되는 글쓰기 : IT조선 조상록님
264,18,[20% 할인쿠폰] 초격차 패키지 : 백엔드 개발자를 위한 한 번에 끝내는 대용량 데이터 & 트래픽 처리
265,18,[재결제쿠폰][20% 할인쿠폰] React Native를 활용한 빠르고 완성도 높은 앱 개발 초격차 패키지 20% 할인 쿠폰
266,18,패스트캠퍼스 30만원 강의 쿠폰
267,18,[100% 할인] 한번에 끝내는 영상 촬영과 편집 : IT조선 조상록님
268,18,[디자인] 한 번에 끝내는 공간/건축 디자인 20% 할인 쿠폰
269,18,[규정외발급]1+1이벤트 쿠폰
270,17,"[무료수강권] 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음"
271,17,[30% 할인쿠폰] 초격차 패키지 : Solidity로 시작하는 이더리움(EVM) 기반 블록체인 개발  A to Z
272,17,"[네오아카데미] 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음 20% 할인 쿠폰"
